prospectno,FDD,MAXDPD24M,max_DPD_LFT,Total_Payments,TGT
720425,17MAR2015,0,61,>24 Payment,0
720428,30APR2015,31,31,>24 Payment,0
720431,30APR2015,88,88,>24 Payment,1
720434,04MAR2015,0,,>24 Payment,0
720440,14MAR2015,0,,>24 Payment,0
720447,31MAR2015,88,88,16-18 Payment,1
720453,31MAR2015,0,,>24 Payment,0
720459,31MAR2015,58,58,>24 Payment,0
720461,31MAR2015,0,0,>24 Payment,0
720462,30APR2015,89,119,>24 Payment,1
720465,31MAR2015,31,31,>24 Payment,0
720467,09MAR2015,0,,>24 Payment,0
720468,23APR2015,0,,>24 Payment,0
720470,31MAR2015,0,26,>24 Payment,0
720471,31MAR2015,0,27,>24 Payment,0
720487,22APR2015,0,,>24 Payment,0
720489,09APR2015,0,,>24 Payment,0
720490,28FEB2015,0,,>24 Payment,0
720498,15APR2015,177,177,19-24 Payment,1
720499,15APR2015,86,149,>24 Payment,1
720508,31MAR2015,0,,>24 Payment,0
720509,31MAR2015,0,,>24 Payment,0
720510,28FEB2015,0,,>24 Payment,0
720511,31MAR2015,0,,>24 Payment,0
720512,31MAR2015,0,,>24 Payment,0
720513,31AUG2015,0,,>24 Payment,0
720514,25APR2015,0,,>24 Payment,0
720524,30JUN2015,88,88,>24 Payment,1
720525,28FEB2015,116,846,>24 Payment,1
720532,23MAR2015,0,27,>24 Payment,0
720533,28FEB2015,0,,>24 Payment,0
720534,28FEB2015,0,26,>24 Payment,0
720539,19MAR2015,27,27,>24 Payment,0
720541,16MAR2015,0,,>24 Payment,0
720548,28FEB2015,0,,>24 Payment,0
720564,28FEB2015,0,,>24 Payment,0
